panchayat_id,lgd_code,panchayat_name,block_name,district_name,station_id,date,forecast_issue_date,block_forecast_rainfall_mm,panchayat_latitude,panchayat_longitude,elevation_m,station_distance_km,lead_days,month,day_of_year,actual_rainfall_mm
1001,182597,Ajmer Saundane,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.6385,74.1201,585,9.91,0,9,247,2.5
1002,182598,Akhatwade,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.6908,74.2045,595,11.22,0,9,247,2.5
1003,182599,Aliyabad,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.7734,73.9955,612,29.47,0,9,247,2.5
1004,182600,Ambapur,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.7289,74.3392,570,21.17,0,9,247,2.5
1005,182601,Ambasan,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.7121,74.3659,565,21.96,0,9,247,2.5
1006,182602,Anandpur,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.5891,74.3122,555,11.68,0,9,247,2.5
1007,182603,Antapur,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.7812,74.2544,590,22.0,0,9,247,2.5
1008,182604,Arai,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.6695,74.1712,610,9.33,0,9,247,2.5
1009,182605,Askheda,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.7431,74.3188,575,21.04,0,9,247,2.5
1010,182606,Aundane,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.6402,74.1355,605,8.73,0,9,247,2.5
1011,237156,Aundanepada,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.6415,74.1388,605,8.57,0,9,247,2.5
1012,182607,Avhati,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.6816,74.159,620,11.04,0,9,247,2.5
1013,182608,Babulne,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.7092,74.1811,615,13.4,0,9,247,2.5
1014,182609,Bhadane,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.8851,74.3621,550,36.89,0,9,247,2.5
1015,182610,Bhakshi,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.6391,74.1082,630,11.0,0,9,247,2.5
1016,182612,Bhavanagar,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.6522,74.1544,615,8.39,0,9,247,2.5
1017,182611,Bhawade,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.7086,74.0048,640,24.22,0,9,247,2.5
1018,182615,Bhildar,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.6833,74.1455,625,11.82,0,9,247,2.5
1019,182616,Bhilwad,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.6895,74.0541,650,18.79,0,9,247,2.5
1020,182617,Bhimkhet,Baglan,Nashik,Satana AWS,2026-09-04,2026-09-04,5.0,20.7102,73.9855,660,26.01,0,9,247,2.5
