panchayat_id,panchayat_name,block_name,date,forecast_issue_date,lead_days,block_forecast_rainfall_mm,actual_rainfall_mm
1001,Ajmer Saundane,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1002,Akhatwade,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1003,Aliyabad,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1004,Ambapur,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1005,Ambasan,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1006,Anandpur,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1007,Antapur,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1008,Arai,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1009,Askheda,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1010,Aundane,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1011,Aundanepada,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1012,Avhati,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1013,Babulne,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1014,Bhadane,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1015,Bhakshi,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1016,Bhavanagar,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1017,Bhawade,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1018,Bhildar,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1019,Bhilwad,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1020,Bhimkhet,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1021,Bijorse,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1022,Bijote,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1023,Bodhari,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1024,Bordaivat,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1025,Borhate Digar,Baglan,2026-09-04,2026-09-04,0,5.0,2.5
1026,Brahamangaon,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1027,Brahamangaon,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1028,Bundhate,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1029,Chaphyachapada,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1030,Chaugaon,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1031,Chaundhane,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1032,Chirai,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1033,Daharane,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1034,Dahindule,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1035,Dangsoundane,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1036,Daregaon,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1037,Daswel,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1038,Deolane,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1039,Devthan Digar,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1040,Dhandri,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1041,Dholbare,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1042,Dongrej,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1043,Dyane,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1044,Ejamane,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1045,Golwad,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1046,Gorane,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1047,Jad,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1048,Jaikheda,Baglan,2026-09-03,2026-09-03,0,2.0,1.8
1049,Jakhod,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1050,Jamoti,Baglan,2026-09-03,2026-09-03,0,2.0,1.4
1051,Joran,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1052,Junenirpur,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1053,Junishemli,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1054,Kakadgaon,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1055,Kandhane,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1056,Kapaleshwar,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1057,Karanjad,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1058,Karanjkhede,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1059,Karhe,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1060,Katerwel,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1061,Kelzar,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1062,Kersane,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1063,Khalche Tembe,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1064,Khamlon,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1065,Khamtane,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1066,Khirmani,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1067,Kikwari Bu.,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1068,Kikwari Kh.,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1069,Kolipada,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1070,Kotbel,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1071,Kupkheda,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1072,Ladud,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1073,Lakhamapur,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1074,Mahad,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1075,Malegaon,Baglan,2026-09-02,2026-09-02,0,8.0,1.4
1076,Malegaon,Baglan,2026-09-01,2026-09-01,0,12.0,1.3
1077,Malegaon,Baglan,2026-09-01,2026-09-01,0,12.0,1.3
1078,Maliwada,Baglan,2026-09-01,2026-09-01,0,12.0,1.3
1079,Manjawad,Baglan,2026-09-01,2026-09-01,0,12.0,1.3
1080,Manur,Baglan,2026-09-01,2026-09-01,0,12.0,1.3
1081,Morane Sahebrao,Baglan,2026-09-01,2026-09-01,0,12.0,1.3
1082,Morenagaon,Baglan,2026-09-01,2026-09-01,0,12.0,1.3
1083,Morkure,Baglan,2026-09-01,2026-09-01,0,12.0,1.3
1084,Mulane,Baglan,2026-09-01,2026-09-01,0,12.0,1.3
1085,Mulher,Baglan,2026-09-01,2026-09-01,0,12.0,1.5
1086,Mungase,Baglan,2026-09-01,2026-09-01,0,12.0,1.3
1087,Nalkes,Baglan,2026-09-01,2026-09-01,0,12.0,1.3
1088,Nampur,Baglan,2026-09-01,2026-09-01,0,12.0,1.2
1089,Nandin,Baglan,2026-09-01,2026-09-01,0,12.0,1.3
1090,Navegaon,Baglan,2026-09-01,2026-09-01,0,12.0,1.3
