panchayat_id,lgd_code,panchayat_name,block_name,district_name,panchayat_latitude,panchayat_longitude,elevation_m,date,forecast_issue_date,block_forecast_rainfall_mm,station_id,station_latitude,station_longitude,station_distance_km,actual_rainfall_mm
1001,182597,Ajmer Saundane,Baglan,Nashik,20.6385,74.1201,585,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,9.91,2.5
1002,182598,Akhatwade,Baglan,Nashik,20.6908,74.2045,595,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,11.22,2.5
1003,182599,Aliyabad,Baglan,Nashik,20.7734,73.9955,612,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,29.47,2.5
1004,182600,Ambapur,Baglan,Nashik,20.7289,74.3392,570,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,21.17,2.5
1005,182601,Ambasan,Baglan,Nashik,20.7121,74.3659,565,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,21.96,2.5
1006,182602,Anandpur,Baglan,Nashik,20.5891,74.3122,555,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,11.68,2.5
1007,182603,Antapur,Baglan,Nashik,20.7812,74.2544,590,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,22.0,2.5
1008,182604,Arai,Baglan,Nashik,20.6695,74.1712,610,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,9.33,2.5
1009,182605,Askheda,Baglan,Nashik,20.7431,74.3188,575,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,21.04,2.5
1010,182606,Aundane,Baglan,Nashik,20.6402,74.1355,605,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,8.73,2.5
1011,237156,Aundanepada,Baglan,Nashik,20.6415,74.1388,605,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,8.57,2.5
1012,182607,Avhati,Baglan,Nashik,20.6816,74.159,620,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,11.04,2.5
1013,182608,Babulne,Baglan,Nashik,20.7092,74.1811,615,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,13.4,2.5
1014,182609,Bhadane,Baglan,Nashik,20.8851,74.3621,550,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,36.89,2.5
1015,182610,Bhakshi,Baglan,Nashik,20.6391,74.1082,630,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,11.0,2.5
1016,182612,Bhavanagar,Baglan,Nashik,20.6522,74.1544,615,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,8.39,2.5
1017,182611,Bhawade,Baglan,Nashik,20.7086,74.0048,640,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,24.22,2.5
1018,182615,Bhildar,Baglan,Nashik,20.6833,74.1455,625,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,11.82,2.5
1019,182616,Bhilwad,Baglan,Nashik,20.6895,74.0541,650,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,18.79,2.5
1020,182617,Bhimkhet,Baglan,Nashik,20.7102,73.9855,660,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,26.01,2.5
1021,182613,Bijorse,Baglan,Nashik,20.7511,74.1998,600,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,17.91,2.5
1022,182614,Bijote,Baglan,Nashik,20.7802,74.0988,635,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,23.62,2.5
1023,182618,Bodhari,Baglan,Nashik,20.7921,74.1255,625,2026-09-04,2026-09-04,5.0,Satana AWS,20.59,74.2,23.77,2.5
