panchayat_id,lgd_code,panchayat_name,block_name,district_name,latitude,longitude,elevation_m,date,forecast_issue_date,block_forecast_rainfall_mm,station_id,station_latitude,station_longitude,station_distance_km,actual_rainfall_mm,
1001,182597,Ajmer Saundane,Baglan,Nashik,20.6385,74.1201,585,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,10.3,2.5,
1002,182598,Akhatwade,Baglan,Nashik,20.6908,74.2045,595,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,11.2,2.5,
1003,182599,Aliyabad,Baglan,Nashik,20.7734,73.9955,612,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,29.8,2.5,
1004,182600,Ambapur,Baglan,Nashik,20.7289,74.3392,570,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,21.4,2.5,
1005,182601,Ambasan,Baglan,Nashik,20.7121,74.3659,565,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,22.1,2.5,
1006,182602,Anandpur,Baglan,Nashik,20.5891,74.3122,555,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,11.6,2.5,
1007,182603,Antapur,Baglan,Nashik,20.7812,74.2544,590,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,21.9,2.5,
1008,182604,Arai,Baglan,Nashik,20.6695,74.1712,610,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,9.3,2.5,
1009,182605,Askheda,Baglan,Nashik,20.7431,74.3188,575,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,21,2.5,
1010,182606,Aundane,Baglan,Nashik,20.6402,74.1355,605,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,8.7,2.5,
1011,237156,Aundanepada,Baglan,Nashik,20.6415,74.1388,605,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,8.5,2.5,
1012,182607,Avhati,Baglan,Nashik,20.6816,74.159,620,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,10.9,2.5,
1013,182608,Babulne,Baglan,Nashik,20.7092,74.1811,615,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,13.4,2.5,
1014,182609,Bhadane,Baglan,Nashik,20.8851,74.3621,550,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,36.8,2.5,
1015,182610,Bhakshi,Baglan,Nashik,20.6391,74.1082,630,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,11,2.5,
1016,182612,Bhavanagar,Baglan,Nashik,20.6522,74.1544,615,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,8.5,2.5,
1017,182611,Bhawade,Baglan,Nashik,20.7086,74.0048,640,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,24.3,2.5,
1018,182615,Bhildar,Baglan,Nashik,20.6833,74.1455,625,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,11.8,2.5,
1019,182616,Bhilwad,Baglan,Nashik,20.6895,74.0541,650,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,18.8,2.5,
1020,182617,Bhimkhet,Baglan,Nashik,20.7102,73.9855,660,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,25.9,2.5,
1021,182613,Bijorse,Baglan,Nashik,20.7511,74.1998,600,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,17.9,2.5,
1022,182614,Bijote,Baglan,Nashik,20.7802,74.0988,635,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,23.5,2.5,
1023,182618,Bodhari,Baglan,Nashik,20.7921,74.1255,625,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,23.8,2.5,
1024,182620,Bordaivat,Baglan,Nashik,20.7322,74.2211,595,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,15.9,2.5,
1025,182619,Borhate Digar,Baglan,Nashik,20.825,74.0244,650,04-09-2026,04-09-2026,5,Satana AWS,20.59,74.2,31.8,2.5,
1026,182621,Brahamangaon,Baglan,Nashik,20.6455,74.2811,575,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,10.5,1.4,
1027,182622,Brahamangaon,Baglan,Nashik,20.6455,74.2811,575,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,10.5,1.4,
1028,182623,Bundhate,Baglan,Nashik,20.7611,74.2422,590,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,19.5,1.4,
1029,182624,Chaphyachapada,Baglan,Nashik,20.8122,74.0011,665,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,31.9,1.4,
1030,182626,Chaugaon,Baglan,Nashik,20.8211,74.2633,580,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,26.5,1.4,
1031,182627,Chaundhane,Baglan,Nashik,20.7355,74.1122,630,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,18.6,1.4,
1032,182625,Chirai,Baglan,Nashik,20.8118,74.3519,545,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,29.3,1.4,
1033,182630,Daharane,Baglan,Nashik,20.6588,74.1844,610,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,7.8,1.4,
1034,182636,Dahindule,Baglan,Nashik,20.7911,74.1922,605,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,22.4,1.4,
1035,182629,Dangsoundane,Baglan,Nashik,20.7122,73.9455,670,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,29.9,1.4,
1036,182631,Daregaon,Baglan,Nashik,20.7011,74.2955,575,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,15.9,1.4,
1037,182632,Daswel,Baglan,Nashik,20.7588,74.3211,560,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,22.6,1.4,
1038,182633,Deolane,Baglan,Nashik,20.6311,74.3068,565,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,11.9,1.4,
1039,182634,Devthan Digar,Baglan,Nashik,20.7411,74.1522,620,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,17.5,1.4,
1040,182635,Dhandri,Baglan,Nashik,20.7122,74.1411,625,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,14.9,1.4,
1041,276428,Dholbare,Baglan,Nashik,20.7355,74.0822,645,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,20.4,1.4,
1042,182637,Dongrej,Baglan,Nashik,20.8422,74.1588,615,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,28.3,1.4,
1043,182628,Dyane,Baglan,Nashik,20.7541,74.2869,580,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,20.4,1.4,
1044,182638,Ejamane,Baglan,Nashik,20.7811,74.0122,655,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,28.5,1.4,
1045,182639,Golwad,Baglan,Nashik,20.8111,73.9916,675,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,32.5,1.4,
1046,182640,Gorane,Baglan,Nashik,20.6722,74.1351,625,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,11.4,1.4,
1047,182641,Jad,Baglan,Nashik,20.7917,73.9933,665,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,30.6,1.4,
1048,182644,Jaikheda,Baglan,Nashik,20.7921,74.2092,595,03-09-2026,03-09-2026,2,Jaikheda AWS,20.79,74.21,0.2,1.8,
1049,182642,Jakhod,Baglan,Nashik,20.7811,74.2422,590,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,21.7,1.4,
1050,182643,Jamoti,Baglan,Nashik,20.8011,74.0322,655,03-09-2026,03-09-2026,2,Satana AWS,20.59,74.2,29.3,1.4,
1051,182645,Joran,Baglan,Nashik,20.8351,73.9522,690,02-09-2026,02-09-2026,8,Satana AWS,20.59,74.2,38.3,1.4,
1052,182646,Junenirpur,Baglan,Nashik,20.7622,74.3011,570,02-09-2026,02-09-2026,8,Satana AWS,20.59,74.2,21.8,1.4,
1053,182698,Junishemli,Baglan,Nashik,20.7255,73.9111,685,02-09-2026,02-09-2026,8,Satana AWS,20.59,74.2,33.5,1.4,
1054,182647,Kakadgaon,Baglan,Nashik,20.6388,74.2544,585,02-09-2026,02-09-2026,8,Satana AWS,20.59,74.2,7.8,1.4,
1055,182650,Kandhane,Baglan,Nashik,20.6256,74.1066,625,02-09-2026,02-09-2026,8,Satana AWS,20.59,74.2,10.5,1.4,
1056,182651,Kapaleshwar,Baglan,Nashik,20.8522,74.0811,640,02-09-2026,02-09-2026,8,Satana AWS,20.59,74.2,31.7,1.4,
1057,182652,Karanjad,Baglan,Nashik,20.8411,74.1022,630,02-09-2026,02-09-2026,8,Satana AWS,20.59,74.2,29.8,1.4,
1058,182653,Karanjkhede,Baglan,Nashik,20.6088,74.2855,570,02-09-2026,02-09-2026,8,Satana AWS,20.59,74.2,9.1,1.4,
1059,182654,Karhe,Baglan,Nashik,20.6511,74.3211,560,02-09-2026,02-09-2026,8,Satana AWS,20.59,74.2,14.4,1.4,
1060,182655,Katerwel,Baglan,Nashik,20.7122,74.0622,645,02-09-2026,02-09-2026,8,Satana AWS,20.59,74.2,19.4,1.4,
1061,182656,Kelzar,Baglan,Nashik,20.7688,73.9655,680,02-09-2026,02-09-2026,8,Satana AWS,20.59,74.2,31.4,1.4,
